id,brand,category,rating,number_of_reviews,love,price,value_price,exclusive
75663,Clarins,For Body,4,836,6400,40,40,0
77776,Calvin Klein,Perfume,4,285,2700,73,73,0
77891,Calvin Klein,Cologne,4.5,116,1500,83,83,0
78659,Calvin Klein,Perfume,4.5,186,5900,65,65,0
82685,Dior,Perfume,4.5,42,5000,62,62,0
83246,Dior,Cologne,4.5,95,3000,75,,0
83295,Dior,Cologne,5,68,1500,75,75,0
83360,Donna Karan,Lotions & Oils,5,11,1200,58,58,0
83410,Donna Karan,Perfume,4.5,395,4000,102,102,0
86777,HERMÈS,Perfume,4.5,28,3100,190,190,0
87312,HERMÈS,Perfume,4,15,2300,131,131,0
101220,Shiseido,Makeup Removers,5,2000,97400,12,12,0
108779,Benefit Cosmetics,Blush,4.5,2000,56100,30,30,0
112680,Evian,Mists & Essences,4.5,356,22400,13.5,13.5,0
112706,Evian,Mists & Essences,4.5,79,,22.5,22.5,0
126581,CLINIQUE,Eye Creams & Treatments,4,1000,26400,33,33,0
133751,Lancôme,Toners,,110,6600,27,27,0
135558,Lancôme,Foundation,4.5,1000,35200,41,41,0
136952,Lancôme,Eyeliner,4.5,1000,21700,30.5,30.5,0
137471,Lancôme,Mascara,4.5,3000,48300,,27.5,0
150714,Ralph Lauren,Cologne,4.5,48,1000,72,72,0
150938,Ralph Lauren,Cologne,4.5,15,937,56,56,0
153726,Shiseido,Mists & Essences,4.5,280,27400,60,60,0
193839,Mugler,Perfume,4,1000,21500,84,84,0
203448,CLINIQUE,Eyeliner,4.5,1000,18200,19,19,0
241539,Caudalie,Moisturizers,4.5,231,6000,35,35,0
241653,Caudalie,Lip Balms & Treatments,4,1000,20000,12,12,0
260885,Dior,Perfume,4.5,697,24500,85,85,0
273433,CHANEL,Cologne,4.5,11,1400,75,75,0
288092,Givenchy,Cologne,4.5,125,2600,94,94,0
336545,Gucci,Perfume,4.5,359,8200,82,82,0
346494,CLINIQUE,Cologne,5,78,1900,52,52,0
348078,Clarins,Face Wash & Cleansers,4,100,3700,33,33,0
348128,Clarins,Toners,4.5,332,15300,26,26,0
348144,Clarins,Toners,4.5,21,1500,26,26,0
348946,Carolina Herrera,Cologne,5,80,2300,72,72,0
351841,philosophy,Moisturizers,4,6000,34100,39,39,0
352054,philosophy,Face Serums,4.5,1000,21000,49,49,0
353508,stila,Blush,4.5,1000,34700,25,25,0
365049,CLINIQUE,Perfume,4.5,187,2200,77,77,0
373894,Peter Thomas Roth,Face Sunscreen,4,511,7300,42,,0
388512,CHANEL,Perfume,4.5,16,3100,105,105,0
397299,Armani Beauty,Cologne,5,691,17200,88,88,0
397307,Armani Beauty,Bath & Shower,5,6,921,51,51,0
407304,philosophy,Face Wash & Cleansers,4.5,11000,174600,24,24,0
410712,CLINIQUE,Scrub & Exfoliants,4.5,142,7000,29,29,0
420570,Dior,Perfume,4.5,982,47500,105,105,0
445478,Fresh,Face Wash & Cleansers,4.5,598,11500,42,42,0
446609,Fresh,Scrub & Exfoliants,,,28500,67,67,0
455774,Caudalie,Mists & Essences,4.5,3000,,18,18,0
455774,Caudalie,Makeup,4.5,3000,57400,18,18,0
463042,philosophy,Body Wash & Shower Gel,4.5,1000,24700,27,27,0
463398,Ralph Lauren,Perfume,4.5,531,14400,,82,0
464834,Kenzo,Perfume,4,476,7800,62,62,0
465682,CHANEL,Perfume,5,29,6300,105,105,0
465690,CHANEL,Perfume,4.5,93,17700,105,105,0
472597,CLINIQUE,Concealer,4,701,14100,21,21,0
472845,Michael Kors,Perfume,4.5,510,10900,118,118,0
487694,Fresh,Face Wash & Cleansers,4.5,7000,175700,38,38,0
498824,BURBERRY,Cologne,5,137,2500,66,66,0
500025,Givenchy,Perfume,4.5,381,9000,102,102,0
502443,CLINIQUE,Eye Creams & Treatments,4,270,10200,46,46,0
502641,CLINIQUE,Mascara,4,688,7900,19.5,19.5,0
504274,CLINIQUE,Lip Balm & Treatment,4.5,227,6800,17.5,17.5,0
513168,CHANEL,Perfume,4.5,627,111700,105,105,0
513234,Benefit Cosmetics,Bronzer,4.5,2000,255900,30,30,0
534529,Lancôme,Toners,4.5,1000,39100,31,31,0
534628,Lancôme,Makeup Removers,4.5,3000,54000,30,30,0
549170,Lancôme,Concealer,4.5,,18600,31,31,0
556076,Guerlain,Perfume,4.5,104,2300,88,,0
562082,Fresh,Exfoliators,4.5,988,67000,62,62,0
562090,Fresh,Face Masks,4,2000,112000,62,62,0
563338,DOLCE&GABBANA,Perfume,4.5,2000,78000,104,104,0
564260,Jack Black,Face Wash,5,246,7500,18,18,0
564286,Jack Black,Aftershave,4.5,54,2400,20,20,0
564294,Jack Black,Moisturizer & Treatments,4.5,40,2700,32,32,0
564369,Jack Black,Bath & Body,4.5,24,3800,15,15,0
571257,Peter Thomas Roth,Face Primer,4,312,5600,35,35,0
571265,Peter Thomas Roth,Face Wash & Cleansers,4.5,1000,23200,39,39,0
579490,CLINIQUE,Exfoliators,4.5,1000,30500,23,23,0
590927,CLINIQUE,Makeup Removers,4.5,248,4300,19.5,19.5,0
592501,Donna Karan,Lotions & Oils,5,6,956,60,60,0
592527,Donna Karan,Bath & Shower,4.5,781,19200,29,29,0
604223,L'Occitane,Hand Cream & Foot Cream,4.5,345,12900,29,29,0
604348,L'Occitane,Body Wash & Shower Gel,4.5,525,8900,12,12,0
604728,L'Occitane,Body Wash & Shower Gel,4.5,130,4000,20,20,0
607655,philosophy,Body Lotions & Body Oils,4.5,1000,28800,40,40,0
607689,philosophy,Perfume,4.5,1000,31100,50,50,0
614800,Fresh,Deodorant & Antiperspirant,4,750,14800,20,20,0
624114,Lancôme,Perfume,4,85,5000,91,91,0
625178,CHANEL,Perfume,4.5,69,11000,85,85,0
627760,Ralph Lauren,Cologne,4.5,173,2800,70,70,0
631911,Marc Jacobs Fragrances,Cologne,5,84,2200,93,93,0
631937,Dior,Perfume,4.5,143,6900,105,105,0
637025,CLINIQUE,Body Lotions & Body Oils,4.5,228,7500,33,33,0
640979,L'Occitane,Hand Cream & Foot Cream,4.5,1000,62800,12,12,0
646976,Murad,Face Wash & Cleansers,4.5,237,5300,40,40,0
646992,Murad,Moisturizers,4,83,3200,77,77,0
650226,Benefit Cosmetics,Blush,4.5,1000,65800,30,30,0
654095,Murad,Face Serums,4,1000,43400,72,72,0
654228,Murad,Face Wash & Cleansers,4,2000,41100,32,32,0
654236,Murad,Toners,4.5,850,17600,26,26,0
654277,Murad,Blemish & Acne Treatments,4.5,565,12500,44,44,0
654293,Murad,Beauty Supplements,4,509,11900,50,50,0
654301,Murad,Moisturizers,4.5,962,30900,42,42,0
654798,Murad,Face Wash & Cleansers,4.5,,11800,40,40,0
654806,Murad,Toners,4.5,260,12300,35,35,0
655084,Murad,Eye Creams & Treatments,4,256,7100,70,,0
659094,philosophy,Perfume,4.5,572,9300,50,50,0
659169,philosophy,Body Wash & Shower Gel,4.5,213,5400,27,27,0
661157,Fresh,Toners,4,875,67500,40,40,0
662429,Jack Black,Sunscreen,4.5,372,,28,28,0
663922,Clarins,Face Wash & Cleansers,4.5,476,16400,38,38,0
666123,BVLGARI,Perfume,4.5,215,13600,98,98,0
674739,philosophy,Body Wash & Shower Gel,4.5,310,9900,18,18,0
675140,CHANEL,Perfume,5,54,9900,85,85,0
680074,SEPHORA COLLECTION,Hair Accessories,4.5,1000,18900,3.5,3.5,1
683136,Murad,Body Wash & Shower Gel,4,346,16600,44,44,0
683490,Rosebud Perfume Co.,Lip Balms & Treatments,4.5,5000,63300,7,7,0
683508,Rosebud Perfume Co.,Lip Balms & Treatments,4.5,2000,30700,8,8,0
683862,Fresh,Moisturizers,4.5,197,11700,296,296,0
685891,CLINIQUE,Concealer,4,453,16600,22.5,22.5,0
692467,Blinc,Mascara,4,3000,21600,26,26,0
692558,Blinc,Mascara,4,56,5100,26,26,0
692970,Givenchy,Perfume,4.5,,10600,78,78,0
698100,Pink Sugar,Bath & Shower,3.5,3,644,20,20,0
707349,philosophy,Perfume,4.5,828,14300,50,50,0
707729,BURBERRY,Perfume,4.5,337,12300,85,85,0
710970,CHANEL,Perfume,4.5,20,,85,85,0
711275,CLINIQUE,Mascara,4.5,2000,34400,19.5,19.5,0
713941,Benefit Cosmetics,Mascara,4,6000,37000,20,20,0
718270,Fresh,Eye Creams & Treatments,4,627,15200,48,48,0
724294,Lancôme,Mascara,4,500,9400,27.5,27.5,0
741967,CLINIQUE,Mascara,4.5,748,,18,18,0
742130,CLINIQUE,Eyebrow,4.5,564,9000,18.5,18.5,0
748012,bareMinerals,Face Brushes,3.5,341,6800,22,22,0
749143,bareMinerals,Blush,4.5,1000,34000,22,,0
754671,philosophy,Body Wash & Shower Gel,4.5,,9500,27,27,0
755546,HERMÈS,Perfume,4.5,88,7900,151,151,0
757187,philosophy,Body Wash & Shower Gel,4.5,373,8200,18,18,0
757195,philosophy,Body Wash & Shower Gel,4.5,210,8900,18,18,0
762518,CLINIQUE,Mists & Essences,4.5,262,20300,26,26,0
763706,L'Occitane,Body Wash & Shower Gel,4.5,1000,51500,25,25,0
764183,Lancôme,Mascara,4.5,907,16100,27.5,27.5,0
764936,Anastasia Beverly Hills,Eyebrow,4.5,2000,47900,23,23,0
765172,Anastasia Beverly Hills,Tweezers & Eyebrow Tools,4.5,469,24100,28,28,0
765255,Anastasia Beverly Hills,Mirrors & Sharpeners,4,183,11800,6,6,0
765586,John Varvatos,Cologne,4.5,81,2000,72,72,0
765677,Anastasia Beverly Hills,Eye Brushes,4.5,153,21000,17,17,0
765818,Anastasia Beverly Hills,Eyebrow,4,31,8300,22.5,22.5,0
769836,Murad,Eye Creams & Treatments,4,226,10000,82,82,0
771162,Deborah Lippmann,Nail,3.5,55,4600,12,12,0
771196,DOLCE&GABBANA,Lotions & Oils,5,3,1700,55,55,0
772608,CHANEL,Cologne,5,23,3200,77,77,0
779983,philosophy,Facial Peels,4.5,1000,33200,72,72,0
784603,Peter Thomas Roth,Blemish & Acne Treatments,4.5,1000,47000,46,46,0
786871,CLINIQUE,Deodorant & Antiperspirant,4.5,35,1000,15,15,0
787010,Prada,Perfume,4.5,214,6500,126,126,0
787168,Dior,Perfume,4.5,265,10800,105,105,0
789727,CLINIQUE,Moisturizers,4.5,3000,83000,28,28,0
789735,CLINIQUE,Skincare,4.5,3000,14700,15,15,0
790345,BURBERRY,Cologne,4.5,98,1700,84,84,0
795393,Carolina Herrera,Perfume,4,150,4100,84,84,0
796524,Pink Sugar,Perfume,4.5,3000,47300,30,30,1
804070,NARS,Mirrors & Sharpeners,4.5,836,40900,6,6,0
813345,philosophy,Body Wash & Shower Gel,4,568,15100,18,18,0
817072,BVLGARI,Cologne,5,64,2200,94,94,0
817643,Gucci,Perfume,4.5,318,9000,102,102,0
823427,Caudalie,Face Serums,4.5,2000,75000,79,79,0
826743,Armani Beauty,Cologne,5,243,6600,72,72,0
826859,Jack Black,Deodorant & Antiperspirant,4.5,107,2600,19,19,0
826867,Jack Black,Moisturizer & Treatments,4.5,73,2200,30,30,0
827824,Clarins,For Face,4.5,228,4700,40,40,0
828772,tarte,Bronzer,4.5,1000,28600,30,30,0
829713,Anastasia Beverly Hills,Eyebrow,4,2000,78400,22,22,0
832642,NARS,Bronzer,4.5,2000,72400,42,42,0
833103,Deborah Lippmann,Nail,4,80,5900,20,20,0
834028,Lancôme,Mascara,4,376,5000,27.5,27.5,0
838763,Dior,Mascara,4,2000,28000,29.5,29.5,0
838821,Dior,Eyeliner,4.5,526,12100,30,30,0
847517,CLINIQUE,Bronzer,4.5,241,7300,30,30,0
857888,Dior,Perfume,4.5,94,8400,85,85,0
860312,CHANEL,Body Sprays & Deodorant,4.5,10,2100,25,25,0
860940,Donna Karan,Perfume,4.5,237,6700,100,100,0
861690,Guerlain,Eyeliner,4,305,8200,41,41,0
862417,tarte,Mascara,4,6000,97800,23,23,0
864025,BVLGARI,Perfume,4.5,474,17700,86,86,0
864066,Armani Beauty,Bath & Shower,4.5,2,390,51,51,0
870519,Laura Mercier,Concealer,4.5,2000,26400,28,28,0
870618,Laura Mercier,Setting Spray & Powder,4.5,8000,657100,39,39,0
870675,Laura Mercier,Setting Spray & Powder,4,1000,76700,28,28,0
870964,Laura Mercier,Face Brushes,5,2,1200,36,36,0
871111,Laura Mercier,Sponges & Applicators,4,239,26600,16,16,0
871822,Laura Mercier,Bath Soaks & Bubble Bath,4,44,12500,55,55,0
873117,Ralph Lauren,Cologne,5,114,3100,70,70,0
873133,Ralph Lauren,Body Sprays & Deodorant,5,3,424,23,23,0
875658,HERMÈS,Lotions & Oils,2.5,3,546,143,143,0
875773,HERMÈS,Perfume,4.5,117,10200,139,139,0
876169,Calvin Klein,Perfume,4.5,570,10600,79,79,0
882506,CLINIQUE,Moisturizer & Treatments,4.5,66,2700,29.5,29.5,0
883306,CLINIQUE,Lip Balms & Treatments,4.5,248,11900,31,31,0
884569,Narciso Rodriguez,Perfume,4.5,312,10600,100,100,0
886267,CLINIQUE,Face Wash & Cleansers,4.5,3000,141100,30,30,0
886457,Lancôme,Moisturizers,4,136,4100,50,50,0
889840,Givenchy,Eyeliner,4,153,3800,27,27,1
895367,Pink Sugar,Lotions & Oils,4,16,2700,25,25,0
895490,SEPHORA COLLECTION,Tweezers & Eyebrow Tools,4.5,492,24500,15,15,1
897116,stila,Eye Brushes,4.5,45,2700,32,32,0
898510,Shiseido,Sheet Masks,4.5,54,7800,70,70,0
899070,CLINIQUE,Face Wash & Cleansers,4.5,2000,46500,18.5,18.5,0
899393,NARS,Blush,4.5,17000,646600,30,30,0
902205,Laura Mercier,Lip Gloss,4.5,567,12100,28,28,0
903856,MAKE UP FOR EVER,Setting Spray & Powder,4.5,536,22400,31,31,1
905364,Laura Mercier,Tinted Moisturizer,4.5,5000,97600,46,46,0
906669,BURBERRY,Perfume,4.5,254,4400,102,102,0
909093,CHANEL,Perfume,5,80,16700,105,105,0
911115,Laura Mercier,Body Lotions & Body Oils,4,78,11400,70,70,0
911131,Laura Mercier,Scrub & Exfoliants,4,29,11400,55,55,0
911149,Laura Mercier,Bath & Shower,4,35,14900,55,55,0
912352,Armani Beauty,Perfume,4.5,608,13600,72,72,0
912584,Lab Series For Men,Eye Cream,4.5,18,962,46,46,0
912782,Lab Series For Men,Face Wash,4.5,52,1800,26,26,0
912816,Lab Series For Men,Face Wash,5,22,648,33,33,0
915447,HERMÈS,Cologne,4.5,147,6800,124,124,0
915470,HERMÈS,Body Sprays & Deodorant,4.5,7,763,42,42,0
920462,MAKE UP FOR EVER,Makeup Removers,4.5,2000,25400,25,25,1
929778,Anastasia Beverly Hills,Eyebrow,4.5,4000,143000,23,23,0
941609,Caudalie,Hand Cream & Foot Cream,4.5,1000,24800,15,15,0
945956,Lancôme,Moisturizers,4.5,197,7000,50,50,0
946509,philosophy,Body Lotions & Body Oils,4.5,366,5700,40,40,0
952184,BURBERRY,Cologne,5,90,1800,80,80,0
955641,Versace,Body Lotions & Body Oils,4.5,11,3300,52,52,0
956359,Rosebud Perfume Co.,Lip Balms & Treatments,4.5,1000,27700,8,8,0
957936,Prada,Cologne,4.5,98,1800,74,74,0
963280,TOCCA,Perfume,4.5,420,10300,76,76,0
963306,TOCCA,Perfume,4.5,531,16800,76,76,0
966572,Ralph Lauren,Cologne,4.5,39,1500,68,68,0
966861,Juicy Couture,Perfume,4.5,579,9000,76,76,0
967224,Acqua Di Parma,Body Sprays & Deodorant,3.5,7,400,50,50,0
969352,MAKE UP FOR EVER,Eye Primer,4,355,18100,21,21,1
971473,CLINIQUE,Eye Creams & Treatments,4,1000,54600,33,33,0
973628,Jack Black,Face Wash,4.5,225,7800,19,19,0
974659,Fresh,Body Wash & Shower Gel,4.5,109,3400,15,15,0
975334,Anastasia Beverly Hills,Eyebrow,4.5,514,16700,21,21,0
980995,Buxom,Lip Gloss,4.5,12000,393200,21,21,0
981530,DOLCE&GABBANA,Perfume,4.5,846,20500,122,122,0
985036,Laura Mercier,Blush,4.5,583,12000,44,44,0
986273,REN Clean Skincare,Face Masks,4,127,8800,42,42,0
986315,REN Clean Skincare,Body Wash & Shower Gel,4,30,4400,30,30,0
986349,REN Clean Skincare,Body Lotions & Body Oils,4,12,1600,46,46,0
987651,Dior,Mascara,4,3000,14800,29.5,29.5,0
987917,Yves Saint Laurent,Cologne,5,864,16100,74,74,0
987933,Yves Saint Laurent,Deodorant & Antiperspirant,4.5,16,1700,22,22,0
989962,L'Occitane,Body Lotions & Body Oils,4.5,303,9900,39,39,0
997338,Gucci,Cologne,5,114,2000,92,92,0
999565,CLINIQUE,Face Sunscreen,4,470,6300,27,27,0
1001098,CHANEL,Perfume,4.5,216,28000,115,115,0
1001775,tarte,Mascara,3.5,1000,28600,23,23,0
1002724,bareMinerals,Face Primer,4.5,3000,44300,26,26,0
1005438,MAKE UP FOR EVER,Lip Liner,4.5,2000,117700,20,20,1
1005727,TOCCA,Perfume,4.5,531,14900,76,76,0
1006790,BVLGARI,Rollerballs & Travel Size,4.5,11,0,27,27,0
1007723,TOM FORD,Perfume,4.5,1000,32100,128,128,0
1012855,Anastasia Beverly Hills,Eyebrow,4.5,4000,159800,22,22,0
1014554,Lancôme,Moisturizers,4.5,106,8800,54,54,0
1017920,NARS,Blush,4.5,2000,111300,39,39,0
1018209,HERMÈS,Perfume,4.5,50,3400,102,102,0
1019991,DOLCE&GABBANA,Cologne,5,384,8500,90,90,0
1020007,DOLCE&GABBANA,Deodorant & Antiperspirant,3,6,998,29,29,0
1021930,Murad,Face Serums,3.5,470,19900,68,68,0
1022318,Guerlain,Lip Balm & Treatment,4,322,8900,37,37,0
1023670,DOLCE&GABBANA,Lotions & Oils,4,7,1500,55,55,0
1027473,CLINIQUE,Toners,4.5,936,29600,17,17,0
1027507,CLINIQUE,Face Wash & Cleansers,4,964,30800,22,22,0
1027572,CLINIQUE,Face Wash & Cleansers,4.5,435,13300,16.5,16.5,0
1029859,Clarins,Face Primer,4.5,613,10400,39,39,0
1029958,Marc Jacobs Fragrances,Perfume,4.5,1000,84800,106,106,0
1029958,Marc Jacobs Fragrances,Perfume,4.5,184,8000,106,106,0
1030642,John Varvatos,Cologne,5,139,2100,72,72,0
1031988,MAKE UP FOR EVER,Makeup,4,49,4400,11,11,1
1032754,Fresh,Body Lotions & Body Oils,4,118,3700,48,48,0
1032762,Fresh,Bath Soaks & Bubble Bath,4.5,151,10300,82,82,0
1033208,Fresh,Body Wash & Shower Gel,4.5,55,2100,15,15,0
1033968,Hourglass,Face Brushes,5,34,6600,65,65,0
1033976,Hourglass,Face Brushes,4.5,127,11100,58,58,0
1033984,Hourglass,Eye Brushes,4.5,54,10100,36,36,0
1033992,Hourglass,Eye Brushes,4.5,43,8500,36,36,0
1034008,Hourglass,Eye Brushes,4.5,18,4500,36,36,0
1034016,Hourglass,Face Brushes,4.5,79,4100,65,65,0
1040666,Benefit Cosmetics,Makeup,3.5,54,4900,11,11,1
1040815,Mugler,Perfume,4.5,862,24800,120,120,0
1044437,Fresh,Body Wash & Shower Gel,4.5,17,1100,15,15,0
1044460,Fresh,Body Wash & Shower Gel,4.5,41,2300,15,15,0
1044478,Fresh,Body Wash & Shower Gel,4.5,20,1900,15,15,0
1046168,Armani Beauty,Cologne,5,12,1700,126,198,0
1049170,philosophy,Face Serums,4.5,782,16300,39,39,0
1054840,TOM FORD,Cologne,4.5,85,1600,110,110,0
1056084,Anastasia Beverly Hills,Eyebrow,4.5,14000,660000,23,23,0
1059500,Acqua Di Parma,Cologne,4,20,584,120,120,0
1059880,Fresh,Skincare,4.5,7000,33300,15,15,1
1063619,Versace,Perfume,4.5,1000,90200,95,95,0
1064062,Shiseido,Moisturizers,4.5,33,3100,97,97,0
1064864,Hourglass,Foundation,4,1000,15800,60,60,0
1066711,CLINIQUE,Face Wash & Cleansers,4,276,7300,24,24,0
1066729,CLINIQUE,Moisturizers,4,547,14200,49.5,49.5,0
1066737,CLINIQUE,Face Primer,3.5,300,6300,25,25,0
1067792,KEVYN AUCOIN,Mascara,4,141,5600,28,28,0
1072933,bareMinerals,Face Brushes,3.5,538,12900,28,28,0
1073014,bareMinerals,Setting Spray & Powder,4.5,5000,92200,25,25,0
1073063,bareMinerals,Concealer,4.5,4000,51000,22,22,0
1074442,Hourglass,Face Primer,4.5,6000,202700,54,54,0
1076793,Clarins,Self Tanners,4,249,1600,48,48,0
1078138,Dior,Mascara,4,1000,8300,29.5,29.5,1
1078823,Dior,Bath & Shower,4.5,24,3500,26,26,0
1083740,BVLGARI,Cologne,5,97,1700,94,94,0
1088046,Guerlain,Face Serums,4,25,1400,180,180,0
1097229,MAKE UP FOR EVER,Mascara,4,2000,16400,23,23,1
1098714,Klorane,Dry Shampoo,4.5,67,3800,20,20,0
1098821,Laura Mercier,Eye Primer,4.5,1000,35100,28,28,0
1100742,Fresh,Face Masks,4.5,876,61100,92,92,0
1103779,Lancôme,Face Primer,4.5,491,15800,42,42,0
1107051,Dior,Mascara,4.5,2000,22200,29.5,29.5,0
1108109,Juicy Couture,Perfume,4.5,1000,35300,79,79,0
1108240,Clarins,Face Wash & Cleansers,4.5,508,12300,26,26,0
1108257,Clarins,Face Wash & Cleansers,,40,3500,26,26,0
1108836,Lancôme,Face Wash & Cleansers,,362,13400,27,27,0
1108869,Lancôme,Face Wash & Cleansers,,115,4400,40,40,0
1109404,KEVYN AUCOIN,Eyelash Curlers,,410,25900,21,21,0
1110055,KEVYN AUCOIN,Eyebrow,,75,5500,26,26,0
1110352,Carolina Herrera,Cologne,,48,656,92,92,1
1111632,BURBERRY,Perfume,,556,14600,60,60,0
1113281,CHANEL,Perfume Gift Sets,,,8900,110,110,0
1114636,Lancôme,Face Wash & Cleansers,,172,5100,32,32,0
1114669,Lancôme,Toners,4,160,5700,27,27,0
1118033,SEPHORA COLLECTION,Eyeliner,4.5,6000,,13,13,1
1118819,Anastasia Beverly Hills,Eyeshadow,4.5,480,28800,23,23,0
1121797,Josie Maran,Face Oils,4.5,7000,124500,49,49,1
1123116,CLINIQUE,Makeup,4,14,2600,9.5,9.5,1
1124155,Josie Maran,Makeup Removers,4,1000,13800,12,12,1
1124155,Josie Maran,Skincare,4,78,6400,12,12,1
1127588,DOLCE&GABBANA,Deodorant & Antiperspirant,4,7,605,29,29,0
1128859,Marc Jacobs Fragrances,Perfume,4.5,194,7400,95,95,0
1129766,TOM FORD,Perfume,4,200,4900,128,128,0
1130194,Gucci,Cologne,4.5,144,2200,73,73,0
1130822,Lancôme,Mascara,4,567,3400,36.5,36.5,0
1138270,Mugler,Body Mist & Hair Mist,4,27,4100,40,40,0
1140581,Hourglass,Face Brushes,4,75,3900,46,46,0
1140771,The Art of Shaving,Shaving,5,63,1200,25,25,0
1140797,The Art of Shaving,Shaving,4.5,30,749,25,25,0
1140805,The Art of Shaving,Aftershave,4.5,19,728,40,40,0
1140813,The Art of Shaving,Aftershave,4.5,33,724,40,40,0
1140821,The Art of Shaving,Shaving,4.5,137,2000,25,25,0
1140839,The Art of Shaving,Shaving,4.5,92,1400,25,25,0
1140854,The Art of Shaving,Skincare Sets,5,60,1500,95,137,0
1140870,The Art of Shaving,Skincare Sets,4.5,44,2100,60,60,0
1141183,The Art of Shaving,Skincare Sets,5,38,2000,95,137,0
1143486,Buxom,Mascara,4.5,9000,55500,22,22,0
1148022,TWEEZERMAN,Eyelash Curlers,4,690,17500,22,22,0
1149277,REN Clean Skincare,Face Serums,4.5,98,2500,80,80,0
1151026,CLINIQUE,Lip Gloss,4.5,1000,12200,18.5,18.5,1
1151711,CLINIQUE,Face Sunscreen,4,204,10000,27,27,0
1154897,Evian,Mists & Essences,4.5,1000,21800,16,16,1
1154947,John Varvatos,Cologne,4.5,129,1900,92,92,0
1158336,CHANEL,Lotions & Oils,4.5,6,2100,85,85,0
1158344,CHANEL,Bath & Shower,5,2,2000,55,55,0
1159961,Perricone MD,Beauty Supplements,4,81,3100,95,95,0
1160068,Perricone MD,Beauty Supplements,4.5,30,1900,210,210,0
1160084,Perricone MD,Beauty Supplements,4.5,74,2100,42,42,0
1161629,Dr. Brandt Skincare,Face Primer,4.5,3000,95700,45,45,0
1161660,AMOREPACIFIC,Mists & Essences,4.5,270,9900,35,35,0
1161686,AMOREPACIFIC,Face Wash & Cleansers,4.5,449,14500,50,50,0
1161710,AMOREPACIFIC,Face Oils,4,305,7700,50,50,0
1161736,AMOREPACIFIC,Toners,4.5,183,15900,50,50,0
1161827,AMOREPACIFIC,Moisturizers,4.5,381,9300,100,100,0
1162635,Dior,Mascara,4,755,8600,29.5,29.5,0
1164656,MAKE UP FOR EVER,Mascara,3.5,1000,5500,23,23,1
1164805,bareMinerals,Setting Spray & Powder,4.5,3000,53800,22,22,0
1164805,bareMinerals,Bronzer,4.5,192,947,22,22,0
1166974,Kate Somerville,Face Wash & Cleansers,4,207,5300,36,36,0
1166982,Kate Somerville,Face Wash & Cleansers,4,73,1400,34,34,0
1167105,Kate Somerville,Face Serums,4,246,5200,75,75,0
